date,farm_id,weight
2020-1-1,Farm 18,2461
2020-1-1,Farm 19,1984
2020-1-1,Farm 20,11891
2020-1-1,Farm 21,4048
2020-1-1,Farm 22,16558
2020-1-1,Farm 23,10346
2020-1-1,Farm 25,17566
2020-1-1,Farm 26,17170
2020-1-1,Farm 27,3004
2020-1-1,Farm 28,17440
2020-1-1,Farm 30,11734
2020-1-1,Farm 31,9852
2020-1-1,Farm 32,2611
2020-1-1,Farm 33,2048
2020-1-1,Farm 34,2982
2020-1-1,Farm 35,16731
2020-1-1,Farm 37,6669
2020-1-1,Farm 38,17600
2020-1-1,Farm 39,2292
2020-1-1,Farm 40,16090
2020-1-1,Farm 41,17892
2020-1-1,Farm 42,16281
2020-1-1,Farm 43,2930
2020-1-1,Farm 45,9374
2020-1-1,Farm 46,10049
2020-1-1,Farm 47,11015
2020-1-1,Farm 48,3130
2020-1-1,Farm 50,17487
2020-1-1,Farm 51,6288
2020-1-1,Farm 52,6817
2020-1-1,Farm 53,10539
2020-1-1,Farm 54,8038
2020-1-1,Farm 55,16872
2020-1-1,Farm 57,6832
2020-1-1,Farm 58,17759
2020-1-1,Farm 59,17057
2020-1-1,Farm 60,8916
2020-1-1,Farm 61,17557
2020-1-1,Farm 62,9363
2020-1-1,Farm 63,17346
2020-1-1,Farm 64,16928
2020-1-1,Farm 65,6111
2020-1-1,Farm 67,17050
2020-1-1,Farm 68,10241
2020-1-1,Farm 69,8897
2020-1-1,Farm 70,3321
2020-1-1,Farm 71,11124
2020-1-1,Farm 72,17961
2020-1-1,Farm 73,2732
2020-1-1,Farm 74,6685
2020-1-1,Farm 75,7622
2020-1-1,Farm 76,3884
2020-1-1,Farm 77,10153
2020-1-1,Farm 78,8346
2020-1-1,Farm 80,8437
2020-1-1,Farm 81,10879
2020-1-1,Farm 82,2924
2020-1-1,Farm 83,8218
2020-1-1,Farm 84,2120
2020-1-1,Farm 85,9523
2020-1-1,Farm 86,2577
2020-1-1,Farm 89,3438
2020-1-1,Farm 90,16118
2020-1-1,Farm 91,9170
2020-1-1,Farm 92,3473
2020-1-1,Farm 93,17032
2020-1-1,Farm 94,3339
2020-1-1,Farm 97,3640
2020-1-1,Farm 98,16469
2020-1-1,Farm 99,11718
2020-1-1,Farm 100,9072
2020-1-1,Farm 101,7718
2020-1-1,Farm 102,17314
2020-1-1,Farm 103,2547
2020-1-1,Farm 104,2832
2020-1-1,Farm 106,8659
2020-1-1,Farm 107,8557
2020-1-1,Farm 109,3502
2020-1-1,Farm 110,3803
2020-1-1,Farm 111,2661
2020-1-1,Farm 112,17397
2020-1-1,Farm 115,8663
2020-1-1,Farm 116,11236
2020-1-1,Farm 117,3801
2020-1-2,Farm 18,2310
2020-1-2,Farm 19,1942
2020-1-2,Farm 20,11808
2020-1-2,Farm 21,3961
2020-1-2,Farm 22,16517
2020-1-2,Farm 23,10322
2020-1-2,Farm 24,7307
2020-1-2,Farm 25,17504
2020-1-2,Farm 26,17073
2020-1-2,Farm 27,3156
2020-1-2,Farm 28,17642
2020-1-2,Farm 29,9020
2020-1-2,Farm 30,11693
2020-1-2,Farm 31,9857
2020-1-2,Farm 32,2407
2020-1-2,Farm 33,1936
2020-1-2,Farm 34,2954
2020-1-2,Farm 35,16749
2020-1-2,Farm 36,4018
2020-1-2,Farm 37,6861
2020-1-2,Farm 38,17567
2020-1-2,Farm 39,2247
2020-1-2,Farm 40,16045
2020-1-2,Farm 41,17858
2020-1-2,Farm 42,16312
2020-1-2,Farm 43,3172
2020-1-2,Farm 44,8363
2020-1-2,Farm 45,9304
2020-1-2,Farm 46,10195
2020-1-2,Farm 47,10970
2020-1-2,Farm 48,3090
2020-1-2,Farm 49,10601
2020-1-2,Farm 50,17365
2020-1-2,Farm 51,6268
2020-1-2,Farm 52,6765
2020-1-2,Farm 53,10577
2020-1-2,Farm 54,7977
2020-1-2,Farm 55,16919
2020-1-2,Farm 56,10801
2020-1-2,Farm 57,6927
2020-1-2,Farm 58,17699
2020-1-2,Farm 59,16959
2020-1-2,Farm 60,8826
2020-1-2,Farm 61,17404
2020-1-2,Farm 62,9413
2020-1-2,Farm 63,17246
2020-1-2,Farm 64,16907
2020-1-2,Farm 65,6149
2020-1-2,Farm 66,1972
2020-1-2,Farm 67,17026
2020-1-2,Farm 68,10270
2020-1-2,Farm 69,8753
2020-1-2,Farm 70,3319
2020-1-2,Farm 71,11131
2020-1-2,Farm 72,17972
2020-1-2,Farm 73,2622
2020-1-2,Farm 74,6728
2020-1-2,Farm 75,7671
2020-1-2,Farm 76,3756
2020-1-2,Farm 77,10159
2020-1-2,Farm 78,8556
2020-1-2,Farm 79,6182
2020-1-2,Farm 80,8462
2020-1-2,Farm 81,10850
2020-1-2,Farm 82,3143
2020-1-2,Farm 83,8200
2020-1-2,Farm 84,2180
2020-1-2,Farm 85,9722
2020-1-2,Farm 86,2551
2020-1-2,Farm 87,3441
2020-1-2,Farm 88,11687
2020-1-2,Farm 89,3443
2020-1-2,Farm 90,16022
2020-1-2,Farm 91,8991
2020-1-2,Farm 92,3479
2020-1-2,Farm 93,17083
2020-1-2,Farm 94,3391
2020-1-2,Farm 95,6886
2020-1-2,Farm 96,16712
2020-1-2,Farm 97,3604
2020-1-2,Farm 98,16471
2020-1-2,Farm 99,11823
2020-1-2,Farm 100,9049
2020-1-2,Farm 101,7653
2020-1-2,Farm 102,17234
2020-1-2,Farm 103,2636
2020-1-2,Farm 104,2901
2020-1-2,Farm 105,9278
2020-1-2,Farm 106,8705
2020-1-2,Farm 107,8476
2020-1-2,Farm 108,2737
2020-1-2,Farm 109,3471
2020-1-2,Farm 110,3796
2020-1-2,Farm 111,2811
2020-1-2,Farm 112,17260
2020-1-2,Farm 113,17391
2020-1-2,Farm 114,7965
2020-1-2,Farm 115,8597
2020-1-2,Farm 116,11284
2020-1-2,Farm 117,3786
2020-1-3,Farm 18,2336
2020-1-3,Farm 19,1915
2020-1-3,Farm 20,11922
2020-1-3,Farm 21,3980
2020-1-3,Farm 22,16548
2020-1-3,Farm 23,10334
2020-1-3,Farm 25,17618
2020-1-3,Farm 26,17102
2020-1-3,Farm 27,3149
2020-1-3,Farm 28,17518
2020-1-3,Farm 30,11542
2020-1-3,Farm 31,9736
2020-1-3,Farm 32,2320
2020-1-3,Farm 33,2055
